"filename", "language", "Docker", "Go Checksum File", "Go Module File", "Go", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "JavaScript", "XML", "PostCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\berni\Projects\DivorceSite\frontend\public\apple-touch-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, -1, -6
"c:\Users\berni\Projects\DivorceSite\frontend\public\icon-192.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"c:\Users\berni\Projects\DivorceSite\frontend\public\icon-512.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"c:\Users\berni\Projects\DivorceSite\frontend\public\pdf.worker.min.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, -26, 0, -28
"c:\Users\berni\Projects\DivorceSite\frontend\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -51, 0, 0, 0, 0, -1, -52
"c:\Users\berni\Projects\DivorceSite\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\berni\Projects\DivorceSite\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, 0, -6, -43
"c:\Users\berni\Projects\DivorceSite\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, -6, -67
"c:\Users\berni\Projects\DivorceSite\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\AdUnit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, 0, 0, -4, -6, -78
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -71, 0, 0, 0, 0, 0, 0, -6, -77
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\GuidedModeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -97, 0, 0, 0, 0, 0, -9, -7, -113
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\GuidedTooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -124, 0, 0, 0, 0, 0, -30, -17, -171
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\InfoTooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, -3, -8, -96
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\OfflineIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, -6, -37
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\PWAInstallPrompt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -77, 0, 0, 0, 0, 0, -2, -12, -91
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\SEO.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -182, 0, 0, 0, 0, 0, -28, -21, -231
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -46, 0, 0, 0, 0, 0, -1, -6, -53
"c:\Users\berni\Projects\DivorceSite\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -643, 0, 0, -65, -104, -812
"c:\Users\berni\Projects\DivorceSite\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, -1, -3, -19
